Thresholds	PosteriorCI_pathogenic	PosteriorCI_benign
1.000	0.7735	0.1077
0.999	0.7736	0.1076
0.998	0.7748	0.1069
0.997	0.7766	0.1060
0.996	0.7779	0.1052
0.995	0.7793	0.1045
0.994	0.7808	0.1038
0.993	0.7817	0.1033
0.992	0.7826	0.1027
0.991	0.7840	0.1020
0.990	0.7852	0.1012
0.989	0.7869	0.1005
0.988	0.7879	0.0999
0.987	0.7889	0.0995
0.986	0.7894	0.0988
0.985	0.7874	0.0992
0.984	0.7783	0.1063
0.983	0.7673	0.1156
0.982	0.7614	0.1234
0.981	0.7598	0.1255
0.980	0.7568	0.1292
0.979	0.7488	0.1337
0.978	0.7420	0.1415
0.977	0.7410	0.1431
0.976	0.7361	0.1462
0.975	0.7271	0.1544
0.974	0.7208	0.1624
0.973	0.7180	0.1664
0.972	0.7169	0.1681
0.971	0.7150	0.1699
0.970	0.7150	0.1701
0.969	0.7141	0.1722
0.968	0.7125	0.1738
0.967	0.7115	0.1753
0.966	0.7093	0.1780
0.965	0.7084	0.1790
0.964	0.7049	0.1826
0.963	0.7008	0.1870
0.962	0.7014	0.1869
0.961	0.7019	0.1868
0.960	0.7003	0.1884
0.959	0.6995	0.1901
0.958	0.7003	0.1894
0.957	0.7008	0.1891
0.956	0.7019	0.1883
0.955	0.7015	0.1879
0.954	0.6903	0.1950
0.953	0.6803	0.2094
0.952	0.6720	0.2178
0.951	0.6635	0.2276
0.950	0.6602	0.2322
0.949	0.6574	0.2351
0.948	0.6563	0.2373
0.947	0.6571	0.2366
0.946	0.6583	0.2358
0.945	0.6593	0.2350
0.944	0.6599	0.2347
0.943	0.6575	0.2368
0.942	0.6565	0.2377
0.941	0.6546	0.2395
0.940	0.6508	0.2429
0.939	0.6468	0.2464
0.938	0.6423	0.2504
0.937	0.6376	0.2548
0.936	0.6311	0.2610
0.935	0.6249	0.2675
0.934	0.6189	0.2728
0.933	0.6142	0.2773
0.932	0.6088	0.2819
0.931	0.6015	0.2886
0.930	0.5949	0.2948
0.929	0.5899	0.2988
0.928	0.5866	0.3020
0.927	0.5818	0.3058
0.926	0.5788	0.3086
0.925	0.5814	0.3036
0.924	0.5774	0.3085
0.923	0.5710	0.3146
0.922	0.5662	0.3190
0.921	0.5626	0.3219
0.920	0.5592	0.3250
0.919	0.5559	0.3276
0.918	0.5521	0.3310
0.917	0.5481	0.3365
0.916	0.5420	0.3431
0.915	0.5374	0.3467
0.914	0.5306	0.3547
0.913	0.5235	0.3619
0.912	0.5173	0.3690
0.911	0.5138	0.3734
0.910	0.5084	0.3778
0.909	0.5079	0.3781
0.908	0.5028	0.3824
0.907	0.5000	0.3852
0.906	0.5001	0.3838
0.905	0.4983	0.3846
0.904	0.4999	0.3820
0.903	0.5017	0.3817
0.902	0.5036	0.3787
0.901	0.5013	0.3804
0.900	0.4995	0.3824
0.899	0.4874	0.3970
0.898	0.4807	0.4042
0.897	0.4787	0.4077
0.896	0.4714	0.4157
0.895	0.4661	0.4216
0.894	0.4559	0.4342
0.893	0.4479	0.4431
0.892	0.4431	0.4479
0.891	0.4411	0.4491
0.890	0.4429	0.4475
0.889	0.4356	0.4556
0.888	0.4306	0.4609
0.887	0.4290	0.4628
0.886	0.4275	0.4646
0.885	0.4219	0.4702
0.884	0.4158	0.4765
0.883	0.4122	0.4799
0.882	0.4101	0.4824
0.881	0.4076	0.4854
0.880	0.4024	0.4926
0.879	0.3968	0.4990
0.878	0.3891	0.5070
0.877	0.3877	0.5087
0.876	0.3930	0.5012
0.875	0.3964	0.4961
0.874	0.3951	0.4973
0.873	0.3957	0.4955
0.872	0.3939	0.4979
0.871	0.3899	0.5019
0.870	0.3941	0.4966
0.869	0.3958	0.4937
0.868	0.3966	0.4941
0.867	0.3933	0.4983
0.866	0.3885	0.5040
0.865	0.3878	0.5041
0.864	0.3900	0.5014
0.863	0.3890	0.5021
0.862	0.3865	0.5042
0.861	0.3826	0.5105
0.860	0.3746	0.5199
0.859	0.3656	0.5311
0.858	0.3579	0.5417
0.857	0.3560	0.5444
0.856	0.3526	0.5491
0.855	0.3502	0.5512
0.854	0.3583	0.5399
0.853	0.3593	0.5380
0.852	0.3635	0.5319
0.851	0.3661	0.5285
0.850	0.3652	0.5299
0.849	0.3606	0.5353
0.848	0.3579	0.5393
0.847	0.3546	0.5436
0.846	0.3532	0.5450
0.845	0.3553	0.5405
0.844	0.3542	0.5407
0.843	0.3540	0.5398
0.842	0.3543	0.5397
0.841	0.3534	0.5416
0.840	0.3498	0.5461
0.839	0.3473	0.5494
0.838	0.3444	0.5530
0.837	0.3426	0.5559
0.836	0.3417	0.5567
0.835	0.3388	0.5595
0.834	0.3340	0.5657
0.833	0.3323	0.5678
0.832	0.3311	0.5682
0.831	0.3319	0.5666
0.830	0.3378	0.5587
0.829	0.3367	0.5587
0.828	0.3294	0.5672
0.827	0.3262	0.5713
0.826	0.3248	0.5727
0.825	0.3179	0.5812
0.824	0.3068	0.5954
0.823	0.3050	0.5961
0.822	0.2934	0.6138
0.821	0.2874	0.6221
0.820	0.2825	0.6289
0.819	0.2789	0.6329
