genename,Tot.var,at_least_1patho,Tot.mis.var,Frac.P,Frac.LP,Frac.P.LP,Frac.B,Frac.LB,Frac.B.LB,Frac.VUS,Frac.conflict,Len.of.Protein,cancer.gene,Norm.tot.mis.var,Ps_cnt,Ps_IR_cnt,Ps_b_cnt,Ps_p_cnt,p.ir,p.b,p.p,Bs_cnt,Bs_IR_cnt,Bs_b_cnt,Bs_p_cnt,b.ir,b.b,b.p,VUS_cnt,VUS_IR_cnt,VUS_b_cnt,VUS_p_cnt,vus.ir,vus.b,vus.p,gnomad_var,gnomad_revel,gnomad_revel_IR,gnomad_IR_frac,gnomad_mis,gnomad_mis_revel,gnomad_mis_revel_IR,gnomad_mis_revel_IR_frac
A1CF,7,N,2,0,0,0,0,0.5,0,0.5,0,602,N,0.003322259,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,806,307,89,0.28990228,285,285,87,0.305263158
A2M,18,N,6,0,0,0,0.833333333,0.166666667,0,0,0,1474,N,0.004070556,0,0,0,0,0,0,0,7,0,6,1,0,0.857142857,0.142857143,0,0,0,0,0,0,0,1850,644,119,0.184782609,635,635,123,0.193700787
A2ML1,687,Y,291,0,0,0,0.075601375,0.089347079,0.065292096,0.714776632,0.048109966,1454,N,0.200137552,0,0,0,0,0,0,0,69,5,63,1,0.072463768,0.913043478,0.014492754,207,40,158,9,0.193236715,0.763285024,0.043478261,2274,731,134,0.183310534,788,788,145,0.184010152
A4GALT,13,Y,6,0,0,0,0.333333333,0,0,0,0,353,N,0.016997167,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,524,312,83,0.266025641,245,245,82,0.334693878
A4GNT,2,N,1,0,0,0,0,0,0,1,0,412,N,0.002427184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,321,186,65,0.349462366,185,185,64,0.345945946
AAAS,100,Y,28,0.107142857,0.035714286,0.035714286,0,0,0.035714286,0.714285714,0.071428571,546,N,0.051282051,6,2,1,3,0.333333333,0.166666667,0.5,1,0,1,0,0,1,0,20,5,7,8,0.25,0.35,0.4,1261,419,149,0.355608592,317,317,122,0.384858044
AACS,7,N,1,0,0,0,1,0,0,0,0,714,N,0.00140056,0,0,0,0,0,0,0,3,0,3,0,0,1,0,0,0,0,0,0,0,0,1270,417,126,0.302158273,358,358,117,0.326815642
AAGAB,32,Y,6,0.166666667,0,0,0.5,0.166666667,0,0.166666667,0,315,N,0.019047619,1,1,0,0,1,0,0,4,1,3,0,0.25,0.75,0,1,0,1,0,0,1,0,651,216,61,0.282407407,200,200,56,0.28
AAK1,3,N,1,0,0,0,1,0,0,0,0,961,N,0.001040583,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,935,308,52,0.168831169,251,251,46,0.183266932
AAMP,2,N,0,0,0,0,0,0,0,0,0,435,N,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1227,506,115,0.227272727,182,182,39,0.214285714
